id,first_img_after,last_img_before,event_date_avg,pdd,pdd_max,pdd_pct,area,dist_terminus-zero,pc_location,pc_fv,pc_len_fv,pc_len_end,delta_len,dist_pcfv-terminus,pc_speed,group
C01,25/05/2019,24/05/2019,24/05/2019,32,177,18.1,0.47,699,middle,22,1201,1393,192,591,23.5,1
C01,,,24/05/2019,,,,,,south,5,637,442,-195,99,17.2,1
C02,27/05/2019,25/05/2019,26/05/2019,34,177,19.2,1.26,1061,middle,29,457,743,286,740,23.5,1
C02,,,26/05/2019,,,,,,south,29,894,797,-97,421,12.8,1
C03,29/05/2019,27/05/2019,28/05/2019,36,177,20.3,1.53,1377,middle,1,1938,1938,0,0,0,1
C04,30/05/2019,29/05/2019,29/05/2019,37,177,20.9,0.4,1295,-,,,,,,,1
C05,24/06/2019,19/06/2019,23/06/2019,60,177,33.9,0.42,2061,south,12,1729,2693,964,148,10.5,1
C06,26/07/2019,21/07/2019,24/07/2019,92,177,52,0.51,2603,south,15,1859,2863,1004,129,8.5,2
C07,05/08/2019,02/08/2019,04/08/2019,103,177,58.2,1.47,2910,south,8,1566,1396,-170,42,5.9,2
C08,27/08/2019,25/08/2019,26/08/2019,126,177,71.2,0.67,2705,north,8,594,807,213,114,8.4,2
C08,,,26/08/2019,,,,,,middle,9,368,469,101,84,4.6,2
C08,,,26/08/2019,,,,,,south,9,735,1013,278,158,13.4,2
C09,21/05/2020,19/05/2020,21/05/2020,18,152,11.8,2.11,1638,-,,,,,,,1
C10,13/06/2020,12/06/2020,12/06/2020,38,152,25,0.62,2638,middle,1,1566,1566,0,0,0,2
C11,30/06/2020,28/06/2020,29/06/2020,55,152,36.2,1.32,3185,north,9,618,1107,489,187,14.7,2
C11,,,29/06/2020,,,,,,south,9,577,1404,827,137,13.8,2
C19,04/03/2021,28/02/2021,04/03/2021,0,153,0,2.88,2918,middle,15,506,781,275,497,31.1,2
C19,,,04/03/2021,,,,,,south,17,931,734,-197,163,3.5,2
C12,01/05/2021,28/04/2021,29/04/2021,9,153,5.9,4.22,2550,south,8,585,1206,621,2,0,2
C13,04/05/2021,03/05/2021,03/05/2021,13,153,8.5,0.65,2751,south,5,269,563,294,14,2.8,2
C20,11/05/2021,06/05/2021,07/05/2021,15,153,9.8,1.21,2980,middle,32,765,889,124,1017,31.1,2
C21,14/05/2021,13/05/2021,13/05/2021,20,153,13.1,1.33,3460,-,,,,,,,3
C22,18/05/2021,14/05/2021,15/05/2021,23,153,15,0.95,3798,-,,,,,,,3
C23,23/05/2021,18/05/2021,19/05/2021,27,153,17.6,0.57,3950,middle,8,1273,1750,477,300,35.9,3
C14,02/06/2021,28/05/2021,30/05/2021,36,153,23.5,1.79,4260,north,3,597,597,0,0,0,4
C14,,,30/05/2021,,,,,,middle,3,800,800,0,17,0,4
C14,,,30/05/2021,,,,,,south,26,410,1322,912,386,13,4
C24,03/06/2021,02/06/2021,02/06/2021,39,153,25.5,0.66,4423,north,5,782,1164,382,179,30,4
C25,05/06/2021,03/06/2021,04/06/2021,41,153,26.8,1.42,4609,north,1,509,509,0,43,24,4
C25,,,04/06/2021,,,,,,south,1,1796,1796,0,0,0,4
C26,02/07/2021,22/06/2021,28/06/2021,64,153,41.8,0.6,3490,north,23,1242,787,-455,820,35.8,3
C27,08/07/2021,02/07/2021,04/07/2021,72,153,47.1,2.67,4482,-,,,,,,,4
C28,25/07/2021,18/07/2021,22/07/2021,88,153,57.5,1.71,4589,-,,,,,,,4
C29,18/09/2021,16/09/2021,16/09/2021,139,153,90.8,6.95,3405,-,,,,,,,3
C17,08/06/2022,05/06/2022,07/06/2022,20,152,13.2,0.54,1956,south,12,1746,1523,-223,97,1,1
C18,28/06/2022,25/06/2022,27/06/2022,40,152,26.3,1.65,2579,middle,7,562,604,42,155,14,2
C18,,,27/06/2022,,,,,,south,12,1699,1524,-175,118,4.3,2
C15,10/07/2022,08/07/2022,09/07/2022,53,152,34.9,1.47,2680,far north,6,1526,1289,-237,0,0,2
C15,,,09/07/2022,,,,,,north,1,615,1770,1155,0,0,2
C15,,,09/07/2022,,,,,,middle,6,1886,2036,150,57,4.5,2
C16,06/08/2022,01/08/2022,03/08/2022,77,152,50.7,1.69,3774,far north,2,1257,1257,0,0,0,3
C16,,,03/08/2022,,,,,,middle,2,2687,2687,0,0,0,3
